BankIt2832066 11_unbinned_16     	PP870126
BankIt2832066 11_unbinned_2      	PP870127
BankIt2832066 13_unbinned_5      	PP870128
BankIt2832066 16_unbinned_5      	PP870129
BankIt2832066 16_unbinned_6      	PP870130
BankIt2832066 17_bin_5_contig_1  	PP870131
BankIt2832066 17_bin_5_contig_2  	PP870132
BankIt2832066 17_bin_5_contig_3  	PP870133
BankIt2832066 17_bin_5_contig_4  	PP870134
BankIt2832066 17_unbinned_33     	PP870135
BankIt2832066 17_unbinned_9      	PP870136
BankIt2832066 19_unbinned_1      	PP870137
BankIt2832066 19_unbinned_8      	PP870138
BankIt2832066 20_unbinned_4      	PP870139
BankIt2832066 21_bin_11_contig_1 	PP870140
BankIt2832066 21_bin_11_contig_2 	PP870141
BankIt2832066 21_bin_8_contig_1  	PP870142
BankIt2832066 21_bin_8_contig_2  	PP870143
BankIt2832066 21_bin_8_contig_3  	PP870144
BankIt2832066 22A_bin_1_contig_1 	PP870145
BankIt2832066 22A_bin_1_contig_2 	PP870146
BankIt2832066 22A_bin_1_contig_3 	PP870147
BankIt2832066 22A_bin_1_contig_4 	PP870148
BankIt2832066 22A_bin_1_contig_5 	PP870149
BankIt2832066 22A_bin_1_contig_6 	PP870150
BankIt2832066 22A_bin_1_contig_7 	PP870151
BankIt2832066 22A_bin_1_contig_8 	PP870152
BankIt2832066 22A_bin_1_contig_9 	PP870153
BankIt2832066 22A_bin_1_contig_10	PP870154
BankIt2832066 22A_bin_1_contig_11	PP870155
BankIt2832066 22A_bin_1_contig_12	PP870156
BankIt2832066 25_unbinned_17     	PP870157
BankIt2832066 26_unbinned_31     	PP870158
BankIt2832066 26_unbinned_39     	PP870159
BankIt2832066 26_unbinned_62     	PP870160
BankIt2832066 28_unbinned_48     	PP870161
BankIt2832066 29_unbinned_33     	PP870162
BankIt2832066 30_unbinned_10     	PP870163
BankIt2832066 30_unbinned_40     	PP870164
BankIt2832066 30_unbinned_52     	PP870165
BankIt2832066 31A_unbinned_3     	PP870166
BankIt2832066 34_bin_11_contig_1 	PP870167
BankIt2832066 34_bin_11_contig_2 	PP870168
BankIt2832066 34_unbinned_6      	PP870169
BankIt2832066 36_unbinned_2      	PP870170
BankIt2832066 38_bin_10_contig_1 	PP870171
BankIt2832066 38_bin_10_contig_2 	PP870172
BankIt2832066 38_bin_10_contig_3 	PP870173
BankIt2832066 38_bin_9_contig_1  	PP870174
BankIt2832066 38_bin_9_contig_2  	PP870175
BankIt2832066 38_bin_9_contig_3  	PP870176
BankIt2832066 38_unbinned_32     	PP870177
BankIt2832066 38_unbinned_79     	PP870178
BankIt2832066 3_unbinned_20      	PP870179
BankIt2832066 42_unbinned_39     	PP870180
BankIt2832066 44_bin_17_contig_1 	PP870181
BankIt2832066 44_bin_17_contig_2 	PP870182
BankIt2832066 44_unbinned_34     	PP870183
BankIt2832066 44_unbinned_86     	PP870184
BankIt2832066 44_unbinned_98     	PP870185
BankIt2832066 46_bin_4_contig_1  	PP870186
BankIt2832066 46_bin_4_contig_2  	PP870187
BankIt2832066 47_unbinned_69     	PP870188
BankIt2832066 48_unbinned_21     	PP870189
BankIt2832066 48_unbinned_30     	PP870190
BankIt2832066 48_unbinned_35     	PP870191
BankIt2832066 48_unbinned_9      	PP870192
BankIt2832066 4_unbinned_2       	PP870193
BankIt2832066 4_unbinned_36      	PP870194
BankIt2832066 5_bin_14_contig_1  	PP870195
BankIt2832066 5_bin_14_contig_2  	PP870196
BankIt2832066 5_unbinned_35      	PP870197
BankIt2832066 6_bin_23_contig_1  	PP870198
BankIt2832066 6_bin_23_contig_2  	PP870199
BankIt2832066 6_unbinned_2       	PP870200
BankIt2832066 7_unbinned_18      	PP870201
BankIt2832066 7_unbinned_21      	PP870202
BankIt2832066 8_bin_8_contig_1   	PP870203
BankIt2832066 8_bin_8_contig_2   	PP870204
BankIt2832066 9_bin_5_contig_1   	PP870205
BankIt2832066 9_bin_5_contig_2   	PP870206
